Temperature (°C),d08 (cm),t08 (us)
23,10,959
23,10,956
23,10,960
23,10,957
23,10,959
23,10,957
23,10,956
23,10,961
23,10,959
23,10,956
23,10,958
23,10,960
23,10,957
23,10,957
23,10,961
23,10,957
23,10,960
23,10,959
23,10,958
23,10,957
23,10,958
23,10,960
23,10,955
23,10,958
23,10,958
23,10,959
23,10,958
23,10,956
23,10,958
23,10,956
23,10,958
23,10,960
23,10,959
23,10,958
23,10,959
23,10,959
23,10,957
23,10,957
23,10,958
23,10,956
23,10,958
23,10,958
23,10,957
23,10,955
23,10,958
23,10,958
23,10,958
23,10,958
23,10,958
23,10,958
23,10,957
23,10,957
23,10,959
23,10,956
23,10,961
23,10,958
23,10,961
23,10,957
23,10,960
23,10,957
23,10,960
23,10,962
23,10,958
23,10,956
23,10,958
23,10,955
23,10,958
23,10,958
23,10,955
23,10,960
23,10,961
23,10,957
23,10,959
23,10,956
23,10,957
23,10,958
23,10,958
23,10,957
23,10,956
23,10,959
23,10,959
23,10,959
23,10,958
23,10,960
23,10,957
23,10,957
23,10,959
23,10,959
23,10,957
23,10,960
23,10,958
23,10,957
23,10,961
23,10,956
23,10,962
23,10,957
23,10,959
23,10,956
23,10,960
23,10,957
23,10,959
23,10,962
23,10,957
23,10,960
23,10,961
23,10,957
23,10,955
23,10,960
23,10,958
23,10,959
23,10,959
23,10,957
23,10,956
23,10,957
23,10,958
23,10,959
23,10,958
23,10,962
23,10,960
23,10,958
23,10,956
23,10,958
23,10,958
23,10,959
23,10,959
23,10,960
23,10,960
23,10,959
23,10,960
23,10,956
23,10,957
23,10,956
23,10,956
23,10,957
23,10,956
23,10,957
23,10,957
23,10,959
23,10,957
23,10,958
23,10,956
23,10,955
23,10,961
23,10,956
23,10,957
23,10,956
23,10,955
23,10,961
23,10,958
23,10,957
23,10,957
23,10,962
23,10,959
23,10,955
23,10,959
23,10,957
23,10,959
23,10,957
23,10,958
23,10,958
23,10,957
23,10,958
23,10,960
23,10,958
23,10,957
23,10,957
23,10,958
23,10,957
23,10,955
23,10,961
23,10,956
23,10,958
23,10,959
23,10,960
23,10,962
23,10,957
23,10,959
23,10,956
23,10,960
23,10,956
23,10,960
23,10,962
23,10,957
23,10,960
23,10,959
23,10,958
23,10,958
23,10,955
23,10,961
23,10,958
23,10,959
23,10,958
23,10,960
23,10,956
23,10,959
23,10,957
23,10,955
23,10,957
23,10,959
23,10,955
23,10,962
23,10,958
23,10,957
23,10,959
23,10,958
23,10,959
23,10,958
23,10,957
23,10,957
23,10,957
23,10,958
23,10,959
23,10,959
23,10,955
23,10,961
23,10,958
23,10,957
23,10,958
23,10,959
23,10,957
23,10,961
23,10,959
23,10,958
23,10,959
23,10,955
23,10,959
23,10,960
23,10,961
23,10,955
23,10,959
23,10,961
23,10,959
23,10,958
23,10,959
23,10,958
23,10,960
23,10,960
23,10,958
23,10,959
23,10,961
23,10,959
23,10,958
23,10,958
23,10,959
23,10,959
23,10,960
23,10,956
23,10,958
23,10,956
23,10,957
23,10,963
23,10,959
23,10,959
23,10,955
23,10,958
23,10,958
23,10,960
23,10,958
23,10,959
23,10,956
23,10,960
23,10,958
23,10,959
23,10,960
23,10,957
23,10,956
23,10,958
23,10,958
23,10,961
23,10,960
23,10,957
23,10,959
23,10,955
23,10,960
23,10,959
23,10,957
23,10,958
23,10,957
23,10,960
23,10,960
23,10,957
23,10,956
23,10,960
23,10,960
23,10,960
23,10,959
23,10,958
23,10,955
23,10,960
23,10,958
23,10,958
23,10,957
23,10,958
23,10,956
23,10,957
23,10,959
23,10,959
23,10,959
23,10,959
23,10,960
23,10,956
23,10,955
23,10,957
23,10,958
23,10,957
23,10,956
23,10,957
23,10,956
23,10,959
23,10,960
23,10,956
23,10,958
23,10,959
23,10,959
23,10,959
23,10,961
23,10,959
23,10,961
23,10,956
23,10,961
23,10,956
23,10,961
23,10,958
23,10,957
23,10,958
23,10,957
23,10,959
23,10,958
23,10,959
23,10,956
23,10,957
23,10,958
23,10,956
23,10,957
23,10,958
23,10,955
23,10,959
23,10,960
23,10,956
23,10,958
23,10,959
23,10,956
23,10,956
23,10,956
23,10,958
23,10,960
23,10,959
23,10,955
23,10,959
23,10,956
23,10,960
23,10,959
23,10,955
23,10,956
23,10,958
23,10,960
23,10,958
23,10,956
23,10,957
23,10,958
23,10,960
23,10,962
23,10,959
23,10,958
23,10,959
23,10,957
23,10,961
23,10,958
23,10,961
23,10,960
23,10,958
23,10,957
23,10,956
23,10,957
23,10,955
23,10,957
23,10,956
23,10,959
23,10,960
23,10,958
23,10,959
23,10,958
23,10,958
23,10,957
23,10,955
23,10,959
23,10,958
23,10,959
23,10,957
23,10,958
23,10,956
23,10,958
23,10,956
23,10,956
23,10,958
23,10,960
23,10,959
23,10,959
23,10,959
23,10,960
23,10,957
23,10,959
23,10,959
23,10,957
23,10,956
23,10,957
23,10,958
23,10,958
23,10,962
23,10,959
23,10,961
23,10,957
23,10,959
23,10,956
23,10,960
23,10,956
23,10,956
23,10,961
23,10,959
23,10,958
23,10,958
23,10,956
23,10,957
23,10,959
23,10,957
23,10,957
23,10,960
23,10,956
23,10,960
23,10,957
23,10,961
23,10,960
23,10,956
23,10,955
23,10,956
23,10,956
23,10,959
23,10,960
23,10,956
23,10,959
23,10,959
23,10,957
23,10,956
23,10,956
23,10,960
23,10,960
23,10,960
23,10,957
23,10,956
23,10,960
23,10,959
23,10,956
23,10,957
23,10,956
23,10,957
23,10,957
23,10,959
23,10,959
23,10,957
23,10,960
23,10,957
23,10,957
23,10,956
23,10,957
23,10,958
23,10,958
23,10,960
23,10,959
23,10,958
23,10,960
23,10,958
23,10,961
23,10,957
23,10,960
23,10,958
23,10,956
23,10,959
23,10,956
23,10,959
23,10,958
23,10,960
23,10,959
23,10,956
23,10,959
23,10,960
23,10,957
23,10,957
23,10,959
23,10,955
23,10,957
23,10,961
23,10,959
23,10,957
23,10,956
23,10,959
23,10,959
23,10,957
23,10,958
23,10,957
23,10,956
23,10,960
23,10,960
23,10,958
23,10,957
23,10,959
23,10,956
23,10,958
23,10,961
23,10,957
23,10,955
23,10,956
23,10,956
23,10,960
23,10,959
23,10,963
23,10,960
23,10,959
23,10,957
23,10,959
23,10,959
23,10,959
23,10,956
23,10,960
23,10,960
23,10,956
23,10,956
23,10,957
23,10,961
23,10,961
23,10,956
23,10,956
23,10,956
23,10,958
23,10,956
23,10,956
23,10,956
23,10,958
23,10,960
23,10,960
23,10,957
23,10,959
23,10,959
23,10,960
23,10,958
23,10,960
23,10,959
23,10,959
23,10,957
23,10,956
23,10,957
23,10,962
23,10,960
23,10,958
23,10,961
23,10,957
23,10,957
23,10,956
23,10,959
23,10,959
23,10,958
23,10,961
23,10,960
23,10,956
23,10,957
23,10,960
23,10,957
23,10,960
23,10,955
23,10,957
23,10,956
23,10,957
23,10,959
23,10,957
23,10,956
23,10,957
23,10,958
23,10,956
23,10,955
23,10,956
23,10,958
23,10,959
23,10,957
23,10,960
23,10,959
23,10,959
23,10,957
23,10,959
23,10,959
23,10,955
23,10,960
23,10,960
23,10,958
23,10,957
23,10,958
23,10,956
23,10,959
23,10,956
23,10,959
23,10,959
23,10,961
23,10,960
23,10,958
23,10,957
23,10,956
23,10,959
23,10,960
23,10,959
23,10,956
23,10,961
23,10,955
23,10,960
23,10,957
23,10,958
23,10,955
23,10,956
23,10,957
23,10,959
23,10,957
23,10,958
23,10,958
23,10,957
23,10,960
23,10,956
23,10,956
23,10,958
23,10,960
23,10,956
23,10,957
23,10,960
23,10,958
23,10,956
23,10,958
23,10,957
23,10,956
23,10,955
23,10,961
23,10,958
23,10,958
23,10,960
23,10,959
23,10,957
23,10,957
23,10,959
23,10,958
23,10,957
23,10,956
23,10,956
23,10,958
23,10,956
23,10,956
23,10,956
23,10,956
23,10,956
23,10,959
23,10,961
23,10,960
23,10,957
23,10,960
23,10,960
23,10,958
23,10,959
23,10,955
23,10,961
23,10,956
23,10,955
23,10,960
23,10,956
23,10,960
23,10,957
23,10,957
23,10,959
23,10,962
23,10,957
23,10,957
23,10,959
23,10,957
23,10,956
23,10,956
23,10,959
23,10,958
23,10,956
23,10,957
23,10,958
23,10,960
23,10,959
23,10,959
23,10,959
23,10,956
23,10,959
23,10,958
23,10,960
23,10,957
23,10,959
23,10,959
23,10,956
23,10,956
23,10,957
23,10,958
23,10,958
23,10,959
23,10,957
23,10,959
23,10,956
23,10,956
23,10,959
23,10,959
23,10,956
23,10,962
23,10,960
23,10,956
23,10,959
23,10,958
23,10,962
23,10,957
23,10,955
23,10,956
23,10,960
23,10,959
23,10,956
23,10,960
23,10,959
23,10,959
23,10,957
23,10,956
23,10,956
23,10,958
23,10,958
23,10,956
23,10,959
23,10,958
23,10,960
23,10,958
23,10,959
23,10,961
23,10,958
23,10,959
23,10,959
23,10,959
23,10,959
23,10,956
23,10,957
23,10,960
23,10,957
23,10,958
23,10,960
23,10,958
23,10,957
23,10,956
23,10,957
23,10,956
23,10,960
23,10,956
23,10,959
23,10,959
23,10,960
23,10,957
23,10,959
23,10,961
23,10,955
23,10,958
23,10,959
23,10,955
23,10,957
23,10,958
23,10,962
23,10,957
23,10,957
23,10,959
23,10,959
23,10,956
23,10,958
23,10,961
23,10,959
23,10,956
23,10,957
23,10,957
23,10,957
23,10,956
23,10,959
23,10,956
23,10,956
23,10,961
23,10,957
23,10,957
23,10,958
23,10,960
23,10,957
23,10,956
23,10,956
23,10,959
23,10,956
23,10,958
23,10,956
23,10,958
23,10,957
23,10,960
23,10,956
23,10,962
23,10,958
23,10,956
23,10,959
23,10,959
23,10,958
23,10,958
23,10,958
23,10,956
23,10,955
23,10,959
23,10,956
23,10,959
23,10,956
23,10,958
23,10,957
23,10,955
23,10,960
23,10,959
23,10,958
23,10,959
23,10,958
23,10,961
23,10,961
23,10,959
23,10,960
23,10,960
23,10,959
23,10,955
23,10,958
23,10,960
23,10,960
23,10,958
23,10,960
23,10,958
23,10,959
23,10,957
23,10,957
23,10,958
23,10,958
23,10,957
23,10,956
23,10,959
23,10,957
23,10,958
23,10,960
23,10,957
23,10,961
23,10,960
23,10,955
23,10,957
23,10,958
23,10,956
23,10,958
23,10,956
23,10,959
23,10,960
23,10,961
23,10,958
23,10,956
23,10,960
23,10,959
23,10,955
23,10,957
23,10,959
23,10,956
23,10,956
23,10,956
23,10,959
23,10,961
23,10,958
23,10,961
23,10,958
23,10,960
23,10,959
23,10,958
23,10,958
23,10,956
23,10,955
23,10,957
23,10,960
23,10,958
23,10,956
23,10,958
23,10,957
23,10,960
23,10,963
23,10,958
23,10,957
23,10,956
23,10,960
23,10,958
23,10,959
23,10,956
23,10,959
23,10,961
23,10,956
23,10,959
23,10,956
23,10,955
23,10,956
23,10,957
23,10,960
23,10,960
23,10,958
23,10,961
23,10,956
23,10,958
23,10,958
23,10,957
23,10,959
23,10,959
23,10,956
23,10,960
23,10,960
23,10,955
23,10,956
23,10,958
23,10,956
23,10,960
23,10,961
23,10,957
23,10,957
23,10,960
23,10,960
23,10,956
23,10,959
23,10,959
23,10,957
23,10,960
23,10,957
23,10,955
23,10,959
23,10,956
23,10,958
23,10,960
23,10,956
23,10,959
23,10,957
23,10,960
23,10,956
23,10,955
23,10,955
23,10,959
23,10,959
23,10,957
23,10,959
23,10,958
23,10,961
23,10,957
23,10,960
23,10,956
23,10,959
23,10,956
23,10,955
23,10,957
23,10,961
23,10,962
23,10,957
23,10,956
23,10,959
23,10,955
23,10,958
23,10,956
23,10,962
23,10,957
23,10,958
23,10,959
23,10,957
23,10,958
23,10,960
23,10,957
23,10,958
23,10,960
23,10,961
23,10,956
23,10,955
23,10,960
23,10,958
23,10,958
23,10,957
23,10,957
23,10,957
23,10,960
23,10,957
23,10,958
23,10,961
23,10,958
23,10,956
23,10,957
23,10,960
23,10,958
23,10,959
23,10,962
23,10,957
23,10,960
23,10,959
23,10,960
23,10,961
23,10,956
23,10,960
23,10,958
23,10,958
