Temperature (°C),d14 (cm),t14 (us)
23,16,1126
23,16,1127
23,16,1129
23,16,1127
23,16,1129
23,16,1129
23,16,1130
23,16,1131
23,16,1129
23,16,1131
23,16,1132
23,16,1130
23,16,1133
23,16,1133
23,16,1129
23,16,1131
23,16,1129
23,16,1130
23,16,1132
23,16,1130
23,16,1130
23,16,1132
23,16,1129
23,16,1130
23,16,1130
23,16,1131
23,16,1129
23,16,1132
23,16,1128
23,16,1128
23,16,1131
23,16,1129
23,16,1129
23,16,1128
23,16,1133
23,16,1129
23,16,1132
23,16,1132
23,16,1130
23,16,1129
23,16,1132
23,16,1133
23,16,1129
23,16,1132
23,16,1132
23,16,1129
23,16,1131
23,16,1129
23,16,1128
23,16,1129
23,16,1130
23,16,1130
23,16,1131
23,16,1130
23,16,1131
23,16,1134
23,16,1132
23,16,1131
23,16,1128
23,16,1132
23,16,1131
23,16,1129
23,16,1132
23,16,1132
23,16,1130
23,16,1131
23,16,1131
23,16,1127
23,16,1132
23,16,1133
23,16,1131
23,16,1133
23,16,1130
23,16,1128
23,16,1132
23,16,1130
23,16,1132
23,16,1130
23,16,1131
23,16,1130
23,16,1132
23,16,1132
23,16,1131
23,16,1133
23,16,1132
23,16,1133
23,16,1133
23,16,1131
23,16,1128
23,16,1131
23,16,1132
23,16,1128
23,16,1130
23,16,1129
23,16,1128
23,16,1128
23,16,1129
23,16,1128
23,16,1129
23,16,1130
23,16,1128
23,16,1130
23,16,1129
23,16,1133
23,16,1131
23,16,1132
23,16,1131
23,16,1130
23,16,1130
23,16,1128
23,16,1132
23,16,1133
23,16,1130
23,16,1130
23,16,1131
23,16,1131
23,16,1135
23,16,1131
23,16,1129
23,16,1134
23,16,1132
23,16,1129
23,16,1129
23,16,1127
23,16,1132
23,16,1130
23,16,1132
23,16,1131
23,16,1131
23,16,1132
23,16,1128
23,16,1132
23,16,1127
23,16,1132
23,16,1131
23,16,1129
23,16,1131
23,16,1130
23,16,1132
23,16,1131
23,16,1132
23,16,1132
23,16,1131
23,16,1128
23,16,1130
23,16,1127
23,16,1127
23,16,1128
23,16,1133
23,16,1130
23,16,1131
23,16,1130
23,16,1134
23,16,1130
23,16,1132
23,16,1132
23,16,1129
23,16,1132
23,16,1129
23,16,1129
23,16,1128
23,16,1129
23,16,1128
23,16,1128
23,16,1132
23,16,1132
23,16,1128
23,16,1132
23,16,1131
23,16,1131
23,16,1128
23,16,1129
23,16,1134
23,16,1130
23,16,1130
23,16,1129
23,16,1130
23,16,1127
23,16,1131
23,16,1133
23,16,1131
23,16,1129
23,16,1130
23,16,1130
23,16,1127
23,16,1130
23,16,1129
23,16,1130
23,16,1128
23,16,1132
23,16,1132
23,16,1130
23,16,1129
23,16,1132
23,16,1134
23,16,1132
23,16,1130
23,16,1130
23,16,1130
23,16,1130
23,16,1130
23,16,1131
23,16,1128
23,16,1133
23,16,1131
23,16,1128
23,16,1129
23,16,1129
23,16,1130
23,16,1133
23,16,1130
23,16,1131
23,16,1131
23,16,1129
23,16,1132
23,16,1132
23,16,1132
23,16,1130
23,16,1128
23,16,1130
23,16,1133
23,16,1128
23,16,1131
23,16,1128
23,16,1130
23,16,1131
23,16,1131
23,16,1134
23,16,1131
23,16,1131
