Temperature (°C),d18 (cm),t18 (us)
23,20,1247
23,20,1251
23,20,1247
23,20,1248
23,20,1246
23,20,1247
23,20,1248
23,20,1249
23,20,1249
23,20,1250
23,20,1244
23,20,1247
23,20,1245
23,20,1245
23,20,1249
23,20,1249
23,20,1245
23,20,1244
23,20,1248
23,20,1246
23,20,1249
23,20,1248
23,20,1246
23,20,1250
23,20,1247
23,20,1250
23,20,1249
23,20,1246
23,20,1245
23,20,1247
23,20,1244
23,20,1246
23,20,1245
23,20,1247
23,20,1244
23,20,1248
23,20,1249
23,20,1246
23,20,1247
23,20,1245
23,20,1248
23,20,1250
23,20,1250
23,20,1248
23,20,1247
23,20,1248
23,20,1249
23,20,1246
23,20,1246
23,20,1248
23,20,1247
23,20,1248
23,20,1244
23,20,1246
23,20,1246
23,20,1248
23,20,1250
23,20,1247
23,20,1247
23,20,1247
23,20,1246
23,20,1247
23,20,1250
23,20,1248
23,20,1248
23,20,1245
23,20,1250
23,20,1244
23,20,1247
23,20,1248
23,20,1247
23,20,1247
23,20,1248
23,20,1249
23,20,1247
23,20,1249
23,20,1246
23,20,1248
23,20,1246
23,20,1250
23,20,1251
23,20,1247
23,20,1248
23,20,1245
23,20,1246
23,20,1247
23,20,1246
23,20,1246
23,20,1248
23,20,1248
23,20,1248
23,20,1249
23,20,1245
23,20,1251
23,20,1246
23,20,1247
23,20,1245
23,20,1247
23,20,1245
23,20,1246
23,20,1246
23,20,1246
23,20,1247
23,20,1250
23,20,1246
23,20,1247
23,20,1247
23,20,1250
23,20,1245
23,20,1246
23,20,1245
23,20,1247
23,20,1248
23,20,1250
23,20,1247
23,20,1247
23,20,1247
23,20,1245
23,20,1249
23,20,1245
23,20,1247
23,20,1245
23,20,1249
23,20,1250
23,20,1250
23,20,1246
23,20,1246
23,20,1250
23,20,1249
23,20,1248
23,20,1247
23,20,1247
23,20,1246
23,20,1249
23,20,1248
23,20,1247
23,20,1251
23,20,1251
23,20,1246
23,20,1246
23,20,1245
23,20,1245
23,20,1248
23,20,1244
23,20,1247
23,20,1250
23,20,1246
23,20,1248
23,20,1248
23,20,1250
23,20,1248
23,20,1249
23,20,1245
23,20,1245
23,20,1249
23,20,1247
23,20,1250
23,20,1245
23,20,1251
23,20,1246
23,20,1249
23,20,1247
23,20,1248
23,20,1250
23,20,1247
23,20,1248
23,20,1248
23,20,1250
23,20,1247
23,20,1249
23,20,1249
23,20,1247
23,20,1245
23,20,1247
23,20,1248
23,20,1246
23,20,1249
23,20,1249
23,20,1247
23,20,1249
23,20,1249
23,20,1251
23,20,1248
23,20,1247
23,20,1246
23,20,1246
23,20,1245
23,20,1246
23,20,1248
23,20,1249
23,20,1248
23,20,1247
23,20,1249
23,20,1248
23,20,1249
23,20,1249
23,20,1245
23,20,1247
23,20,1247
23,20,1245
23,20,1248
23,20,1244
23,20,1248
23,20,1246
23,20,1248
23,20,1249
23,20,1246
23,20,1251
23,20,1247
23,20,1245
23,20,1245
23,20,1248
23,20,1252
23,20,1247
23,20,1246
23,20,1246
23,20,1248
23,20,1245
23,20,1246
23,20,1250
23,20,1246
23,20,1249
23,20,1247
23,20,1250
23,20,1245
23,20,1248
23,20,1249
23,20,1248
23,20,1249
23,20,1245
23,20,1248
23,20,1249
23,20,1246
23,20,1248
23,20,1245
23,20,1248
23,20,1246
23,20,1247
23,20,1249
23,20,1244
23,20,1248
23,20,1248
23,20,1248
23,20,1246
23,20,1250
23,20,1246
23,20,1249
23,20,1248
23,20,1247
23,20,1250
23,20,1248
23,20,1247
23,20,1246
23,20,1249
23,20,1245
23,20,1247
23,20,1249
23,20,1249
23,20,1245
23,20,1245
23,20,1245
23,20,1251
23,20,1247
23,20,1246
23,20,1246
23,20,1250
23,20,1245
23,20,1250
23,20,1249
23,20,1248
23,20,1246
23,20,1244
23,20,1247
23,20,1250
23,20,1246
23,20,1249
23,20,1250
23,20,1248
23,20,1250
23,20,1247
23,20,1245
23,20,1246
23,20,1249
23,20,1245
23,20,1248
23,20,1250
23,20,1248
23,20,1246
23,20,1249
23,20,1248
23,20,1245
23,20,1244
23,20,1250
23,20,1249
23,20,1248
23,20,1246
23,20,1248
23,20,1248
23,20,1248
23,20,1246
23,20,1250
23,20,1247
23,20,1245
23,20,1248
23,20,1246
23,20,1249
23,20,1246
23,20,1248
23,20,1249
23,20,1247
23,20,1247
23,20,1245
23,20,1247
23,20,1246
23,20,1247
23,20,1247
23,20,1247
23,20,1246
23,20,1249
23,20,1249
23,20,1248
23,20,1247
23,20,1249
23,20,1247
23,20,1246
23,20,1248
23,20,1244
23,20,1246
23,20,1246
23,20,1246
23,20,1245
23,20,1246
23,20,1250
23,20,1247
23,20,1245
23,20,1244
23,20,1249
23,20,1246
23,20,1247
23,20,1247
23,20,1247
23,20,1251
23,20,1247
23,20,1249
23,20,1248
23,20,1248
23,20,1246
23,20,1250
23,20,1245
23,20,1245
23,20,1247
23,20,1246
23,20,1250
23,20,1249
23,20,1248
23,20,1249
23,20,1248
23,20,1249
23,20,1247
23,20,1249
23,20,1247
23,20,1247
23,20,1250
23,20,1245
23,20,1245
23,20,1247
23,20,1248
23,20,1246
23,20,1245
23,20,1249
23,20,1251
23,20,1247
23,20,1249
23,20,1244
23,20,1246
23,20,1249
23,20,1248
23,20,1249
23,20,1248
23,20,1251
23,20,1249
23,20,1245
23,20,1245
23,20,1246
23,20,1246
23,20,1246
23,20,1245
23,20,1250
23,20,1245
23,20,1247
23,20,1246
23,20,1250
23,20,1245
23,20,1245
23,20,1246
23,20,1245
23,20,1249
23,20,1247
23,20,1247
23,20,1246
23,20,1247
23,20,1249
23,20,1248
23,20,1249
23,20,1247
23,20,1246
23,20,1251
23,20,1247
23,20,1245
23,20,1248
23,20,1245
23,20,1248
23,20,1247
23,20,1248
23,20,1246
23,20,1247
23,20,1248
23,20,1249
23,20,1244
23,20,1248
23,20,1246
23,20,1248
23,20,1248
23,20,1248
23,20,1247
23,20,1248
23,20,1249
23,20,1249
23,20,1245
23,20,1246
23,20,1244
23,20,1249
23,20,1247
23,20,1248
23,20,1245
23,20,1252
23,20,1249
23,20,1246
23,20,1247
23,20,1246
23,20,1249
23,20,1246
23,20,1247
23,20,1245
23,20,1245
23,20,1250
23,20,1245
23,20,1246
23,20,1245
23,20,1250
23,20,1249
23,20,1248
23,20,1246
23,20,1250
23,20,1249
23,20,1247
23,20,1246
23,20,1249
23,20,1247
23,20,1245
23,20,1245
23,20,1249
23,20,1247
23,20,1250
23,20,1249
23,20,1247
23,20,1246
23,20,1249
23,20,1250
23,20,1246
23,20,1250
23,20,1248
23,20,1249
23,20,1248
23,20,1244
23,20,1247
23,20,1244
23,20,1246
23,20,1246
23,20,1248
23,20,1247
23,20,1251
23,20,1245
23,20,1247
23,20,1247
23,20,1247
23,20,1249
23,20,1248
23,20,1249
23,20,1247
23,20,1248
23,20,1247
23,20,1246
23,20,1246
23,20,1247
23,20,1250
23,20,1249
23,20,1247
23,20,1205
23,20,1246
23,20,1249
23,20,1251
23,20,1244
23,20,1248
23,20,53
23,20,1247
23,20,1246
23,20,1245
23,20,1250
23,20,1249
23,20,1245
23,20,1247
23,20,1249
23,20,1246
23,20,1245
23,20,1249
23,20,1248
23,20,1248
23,20,1246
23,20,1248
23,20,1246
23,20,1250
23,20,1246
23,20,1245
23,20,1249
23,20,1248
23,20,1250
23,20,1249
23,20,1245
23,20,1248
23,20,1247
23,20,1248
23,20,1245
23,20,1249
23,20,1244
23,20,1251
23,20,1247
23,20,1246
23,20,1246
23,20,1248
23,20,1248
23,20,1248
23,20,1244
23,20,1249
23,20,1246
23,20,1249
23,20,1247
23,20,1246
23,20,1246
23,20,1247
23,20,1247
23,20,1247
23,20,1251
23,20,1251
23,20,1247
23,20,1244
23,20,1245
23,20,1247
23,20,1248
23,20,1248
23,20,1245
23,20,1248
23,20,1246
23,20,1247
23,20,1246
23,20,1247
23,20,1245
23,20,1248
23,20,1247
23,20,1246
23,20,1249
23,20,1247
23,20,1246
23,20,1249
23,20,1246
23,20,1248
23,20,1250
23,20,1251
23,20,1249
23,20,1248
23,20,1246
23,20,1249
23,20,1249
23,20,1247
23,20,1245
23,20,1247
23,20,1246
23,20,1249
23,20,1245
23,20,1247
23,20,1249
23,20,1245
23,20,1245
23,20,1245
23,20,1249
23,20,1249
23,20,1247
23,20,1245
23,20,1248
23,20,1250
23,20,1249
23,20,1247
23,20,1249
23,20,1249
23,20,1250
23,20,1248
23,20,1245
23,20,1247
23,20,1250
23,20,1247
23,20,1248
23,20,1247
23,20,1244
23,20,1247
23,20,1248
23,20,1244
23,20,1248
23,20,1247
23,20,1248
23,20,1245
23,20,1247
23,20,1247
23,20,1246
23,20,1245
23,20,1245
23,20,1250
23,20,1245
23,20,1248
23,20,1247
23,20,1247
23,20,1251
23,20,1249
23,20,1244
23,20,1249
23,20,1251
23,20,1248
23,20,1247
23,20,1244
23,20,1248
23,20,1249
23,20,1248
23,20,1248
23,20,1249
23,20,1247
23,20,1245
23,20,1245
23,20,1249
23,20,1215
23,20,1249
23,20,1249
23,20,1249
23,20,1246
23,20,1245
23,20,1248
23,20,1248
23,20,1249
23,20,1246
23,20,1248
23,20,1245
23,20,1245
23,20,1245
23,20,1250
23,20,1246
23,20,1246
23,20,1245
23,20,1249
23,20,1249
23,20,1249
23,20,1248
23,20,1246
23,20,1248
23,20,1245
23,20,1245
23,20,1249
23,20,1247
23,20,1250
23,20,1247
23,20,1244
23,20,1249
23,20,1247
23,20,1248
23,20,1249
23,20,1248
23,20,1249
23,20,1249
23,20,1245
23,20,1247
23,20,1249
23,20,1247
23,20,1245
23,20,1248
23,20,1250
23,20,1249
23,20,1248
23,20,1248
23,20,1250
23,20,1246
23,20,1246
23,20,1246
23,20,1248
23,20,1245
23,20,1246
23,20,1245
23,20,1249
23,20,1247
23,20,1247
23,20,1248
23,20,1246
23,20,1247
23,20,1249
23,20,1248
23,20,1244
23,20,1245
23,20,1246
23,20,1248
23,20,1245
23,20,1247
23,20,1248
23,20,1246
23,20,1245
23,20,1245
23,20,1247
23,20,1246
23,20,1248
23,20,1247
23,20,1246
23,20,1248
23,20,1251
23,20,1245
23,20,1246
23,20,1248
23,20,1249
23,20,1250
23,20,1246
23,20,1247
23,20,1246
23,20,1249
23,20,1245
23,20,1247
23,20,1247
23,20,1251
23,20,1246
23,20,1250
23,20,1245
23,20,1246
23,20,1249
23,20,1245
23,20,1246
23,20,1249
23,20,1251
23,20,1246
23,20,1247
23,20,1245
23,20,1249
23,20,1247
23,20,1249
23,20,1249
23,20,1250
23,20,1247
23,20,1246
23,20,1247
23,20,1250
23,20,1246
23,20,1247
23,20,1246
23,20,1249
23,20,1247
23,20,1247
23,20,1246
23,20,1245
23,20,1249
23,20,1245
23,20,1246
23,20,1249
23,20,1244
23,20,1247
23,20,1245
23,20,1251
23,20,1249
23,20,1248
23,20,1246
23,20,1246
23,20,1245
23,20,1247
23,20,1248
23,20,1246
23,20,1246
23,20,1248
23,20,1246
23,20,1246
23,20,1252
23,20,1248
23,20,1247
23,20,1244
23,20,1245
23,20,1250
23,20,1250
23,20,1245
23,20,1249
23,20,1246
23,20,1246
23,20,1249
23,20,1249
23,20,1246
23,20,1245
23,20,1246
23,20,1248
23,20,1246
23,20,1249
23,20,1245
23,20,1249
23,20,1248
23,20,1246
23,20,1249
23,20,1249
23,20,1247
23,20,1244
23,20,1245
23,20,1249
23,20,1246
23,20,1247
23,20,1246
23,20,1249
23,20,1248
23,20,1249
23,20,1251
23,20,1249
23,20,1246
23,20,1247
23,20,1247
23,20,1250
23,20,1246
23,20,1249
23,20,1247
23,20,1245
23,20,1251
23,20,1244
23,20,1247
23,20,1244
23,20,1247
23,20,1248
23,20,1246
23,20,1246
23,20,1251
23,20,1248
23,20,1249
23,20,1247
23,20,1246
23,20,1249
23,20,1247
23,20,1244
23,20,1246
23,20,1250
23,20,1245
23,20,1249
23,20,1246
23,20,1250
23,20,1247
23,20,1249
23,20,1249
23,20,1246
23,20,1245
23,20,1246
23,20,1247
23,20,1246
23,20,1249
23,20,1245
23,20,1245
23,20,1247
23,20,1250
23,20,1250
23,20,1247
23,20,1248
23,20,1245
23,20,1249
23,20,1247
23,20,1248
23,20,1249
23,20,1246
23,20,1250
23,20,1248
23,20,1245
23,20,1245
23,20,1251
23,20,1247
23,20,1249
23,20,1247
23,20,1250
23,20,1244
23,20,1249
23,20,1246
23,20,1246
23,20,1249
23,20,1249
23,20,1248
23,20,1245
23,20,1247
23,20,1249
23,20,1246
23,20,1247
23,20,1249
23,20,1248
23,20,1248
23,20,1245
23,20,1249
23,20,1251
23,20,1245
23,20,1247
23,20,1245
23,20,1250
23,20,1245
23,20,1248
23,20,1248
23,20,1246
23,20,1245
23,20,1246
23,20,1245
23,20,1245
23,20,1249
23,20,1246
23,20,1245
23,20,1247
23,20,1247
23,20,1245
23,20,1251
23,20,1245
23,20,1246
23,20,1245
23,20,1246
23,20,1245
23,20,1248
23,20,1247
23,20,1249
23,20,1248
23,20,1248
23,20,1246
23,20,1244
23,20,1247
23,20,1247
23,20,1247
23,20,1247
23,20,1247
23,20,1247
23,20,1249
23,20,1247
23,20,1246
23,20,1247
23,20,1246
23,20,1251
23,20,1247
23,20,1246
23,20,1247
23,20,1249
23,20,1247
23,20,1247
23,20,1245
23,20,1248
23,20,1246
23,20,1249
23,20,1249
23,20,1244
23,20,1245
23,20,1248
23,20,1249
23,20,1248
23,20,1249
23,20,1251
23,20,1245
23,20,1244
23,20,1245
23,20,1249
23,20,1249
23,20,1247
23,20,1246
23,20,1249
