Temperature (°C),d09 (cm),t09 (us)
23,11,978
23,11,986
23,11,987
23,11,986
23,11,987
23,11,986
23,11,984
23,11,988
23,11,987
23,11,988
23,11,987
23,11,988
23,11,988
23,11,989
23,11,988
23,11,990
23,11,991
23,11,989
23,11,989
23,11,990
23,11,989
23,11,990
23,11,987
23,11,987
23,11,987
23,11,988
23,11,986
23,11,983
23,11,987
23,11,988
23,11,985
23,11,988
23,11,986
23,11,986
23,11,986
23,11,984
23,11,987
23,11,988
23,11,986
23,11,988
23,11,985
23,11,989
23,11,984
23,11,987
23,11,989
23,11,988
23,11,987
23,11,987
23,11,987
23,11,988
23,11,988
23,11,988
23,11,988
23,11,988
23,11,986
23,11,986
23,11,986
23,11,988
23,11,988
23,11,984
23,11,986
23,11,986
23,11,985
23,11,987
23,11,986
23,11,984
23,11,984
23,11,986
23,11,988
23,11,984
23,11,987
23,11,987
23,11,987
23,11,987
23,11,985
23,11,986
23,11,988
23,11,986
23,11,986
23,11,987
23,11,989
23,11,987
23,11,987
23,11,986
23,11,988
23,11,984
23,11,987
23,11,987
23,11,989
23,11,988
23,11,986
23,11,985
23,11,987
23,11,990
23,11,988
23,11,985
23,11,985
23,11,985
23,11,988
23,11,985
23,11,984
23,11,986
23,11,984
23,11,985
23,11,988
23,11,987
23,11,985
23,11,988
23,11,988
23,11,987
23,11,987
23,11,987
23,11,990
23,11,987
23,11,987
23,11,985
23,11,984
23,11,988
23,11,988
23,11,984
23,11,985
23,11,985
23,11,986
23,11,985
23,11,988
23,11,989
23,11,985
23,11,985
23,11,989
23,11,987
23,11,985
23,11,987
23,11,984
23,11,988
23,11,984
23,11,985
23,11,987
23,11,988
23,11,985
23,11,988
23,11,987
23,11,984
23,11,985
23,11,986
23,11,988
23,11,985
23,11,989
23,11,984
23,11,988
23,11,989
23,11,987
23,11,987
23,11,986
23,11,986
23,11,988
23,11,986
23,11,988
23,11,986
23,11,984
23,11,986
23,11,985
23,11,985
23,11,987
23,11,988
23,11,987
23,11,990
23,11,989
23,11,988
23,11,987
23,11,985
23,11,986
23,11,985
23,11,985
23,11,984
23,11,984
23,11,985
23,11,987
23,11,985
23,11,985
23,11,984
23,11,987
23,11,985
23,11,987
23,11,986
23,11,985
23,11,984
23,11,988
23,11,988
23,11,984
23,11,984
23,11,986
23,11,985
23,11,988
23,11,985
23,11,989
23,11,987
23,11,990
23,11,987
23,11,985
23,11,987
23,11,985
23,11,986
23,11,985
23,11,985
23,11,985
23,11,984
23,11,985
23,11,985
23,11,988
23,11,986
23,11,987
23,11,988
23,11,989
23,11,984
23,11,988
23,11,985
23,11,984
23,11,987
23,11,985
23,11,983
23,11,989
23,11,985
23,11,988
23,11,983
23,11,985
23,11,985
23,11,990
23,11,988
23,11,987
23,11,989
23,11,986
23,11,985
23,11,987
23,11,988
23,11,989
23,11,988
23,11,986
23,11,985
23,11,989
23,11,984
23,11,987
23,11,984
23,11,987
23,11,988
23,11,988
23,11,988
23,11,987
23,11,984
23,11,987
23,11,986
23,11,989
23,11,990
23,11,990
23,11,989
23,11,984
23,11,988
23,11,984
23,11,984
23,11,987
23,11,988
23,11,988
23,11,984
23,11,988
23,11,985
23,11,989
23,11,989
23,11,987
23,11,987
23,11,988
23,11,989
23,11,986
23,11,988
23,11,984
23,11,989
23,11,986
23,11,987
23,11,985
23,11,985
23,11,985
23,11,984
23,11,985
23,11,984
23,11,986
23,11,991
23,11,986
23,11,985
23,11,987
23,11,987
23,11,987
23,11,986
23,11,985
23,11,984
23,11,985
23,11,988
23,11,985
23,11,985
23,11,988
23,11,985
23,11,986
23,11,988
23,11,987
23,11,985
23,11,988
23,11,984
23,11,988
23,11,984
23,11,987
23,11,984
23,11,987
23,11,988
23,11,987
23,11,984
23,11,984
23,11,985
23,11,985
23,11,984
23,11,988
23,11,988
23,11,984
23,11,986
23,11,989
23,11,989
23,11,988
23,11,989
23,11,988
23,11,988
23,11,986
23,11,984
23,11,986
23,11,987
23,11,985
23,11,984
23,11,986
23,11,986
23,11,989
23,11,988
23,11,984
23,11,987
23,11,987
23,11,985
23,11,987
23,11,985
23,11,986
23,11,986
23,11,986
23,11,985
23,11,987
23,11,986
23,11,987
23,11,985
23,11,988
23,11,988
23,11,985
23,11,989
23,11,986
23,11,987
23,11,989
23,11,988
23,11,986
23,11,984
23,11,986
23,11,988
23,11,987
23,11,985
23,11,986
23,11,986
23,11,988
23,11,984
23,11,986
23,11,985
23,11,989
23,11,991
23,11,990
23,11,990
23,11,984
23,11,987
23,11,985
23,11,987
23,11,985
23,11,984
23,11,989
23,11,985
23,11,986
23,11,988
23,11,984
23,11,985
23,11,986
23,11,983
23,11,987
23,11,990
23,11,988
23,11,988
23,11,988
23,11,991
23,11,988
23,11,988
23,11,987
23,11,988
23,11,986
23,11,987
23,11,990
23,11,987
23,11,989
23,11,989
23,11,987
23,11,987
23,11,984
23,11,988
23,11,986
23,11,986
23,11,987
23,11,989
23,11,988
23,11,987
23,11,986
23,11,984
23,11,986
23,11,984
23,11,986
23,11,988
23,11,987
23,11,989
23,11,988
23,11,984
23,11,987
23,11,984
23,11,987
23,11,985
23,11,987
23,11,984
23,11,987
23,11,987
23,11,987
23,11,987
23,11,986
23,11,984
23,11,986
23,11,986
23,11,984
23,11,987
23,11,987
23,11,985
23,11,984
23,11,987
23,11,985
23,11,986
23,11,988
23,11,986
23,11,985
23,11,987
23,11,987
23,11,988
23,11,985
23,11,986
23,11,984
23,11,986
23,11,988
23,11,985
23,11,988
23,11,988
23,11,986
23,11,984
23,11,987
23,11,983
23,11,987
23,11,986
23,11,987
23,11,989
23,11,991
23,11,988
23,11,987
23,11,989
23,11,984
23,11,984
23,11,985
23,11,988
23,11,985
23,11,986
23,11,988
23,11,987
23,11,987
23,11,984
23,11,985
23,11,987
23,11,987
23,11,986
23,11,988
23,11,988
23,11,988
23,11,988
23,11,988
23,11,984
23,11,988
23,11,983
23,11,988
23,11,985
23,11,985
23,11,989
23,11,985
23,11,988
23,11,984
23,11,987
23,11,984
23,11,990
23,11,988
23,11,990
23,11,984
23,11,983
23,11,989
23,11,986
23,11,984
23,11,984
23,11,989
23,11,986
23,11,986
23,11,985
23,11,990
23,11,990
23,11,986
23,11,987
23,11,987
23,11,987
23,11,988
23,11,989
23,11,991
23,11,988
23,11,990
23,11,986
23,11,985
23,11,987
23,11,988
23,11,986
23,11,988
23,11,984
23,11,988
23,11,988
23,11,989
23,11,987
23,11,984
23,11,989
23,11,988
23,11,985
23,11,985
23,11,989
23,11,988
23,11,984
23,11,985
23,11,987
23,11,990
23,11,986
23,11,987
23,11,986
23,11,984
23,11,987
23,11,989
23,11,987
23,11,989
23,11,987
23,11,988
23,11,989
23,11,989
23,11,987
23,11,986
23,11,988
23,11,985
23,11,988
23,11,987
23,11,988
23,11,988
23,11,985
23,11,988
23,11,988
23,11,984
23,11,986
23,11,987
23,11,986
23,11,984
23,11,989
23,11,987
23,11,988
23,11,986
23,11,988
23,11,985
23,11,986
23,11,986
23,11,987
23,11,988
23,11,987
23,11,986
23,11,985
23,11,987
23,11,987
23,11,988
23,11,987
23,11,984
23,11,985
23,11,987
23,11,985
23,11,985
23,11,990
23,11,988
23,11,986
23,11,989
23,11,983
23,11,987
23,11,988
23,11,987
23,11,987
23,11,987
23,11,985
23,11,986
23,11,987
23,11,986
23,11,988
23,11,985
23,11,985
23,11,989
23,11,985
23,11,989
23,11,987
23,11,985
23,11,984
23,11,985
23,11,985
23,11,986
23,11,986
23,11,986
23,11,987
23,11,985
23,11,986
23,11,987
23,11,990
23,11,988
23,11,987
23,11,987
23,11,988
23,11,987
23,11,985
23,11,984
23,11,986
23,11,984
23,11,990
23,11,986
23,11,985
23,11,986
23,11,985
23,11,984
23,11,985
23,11,987
23,11,989
23,11,987
23,11,985
23,11,985
23,11,988
23,11,987
23,11,984
23,11,987
23,11,987
23,11,991
23,11,989
23,11,988
23,11,985
23,11,986
23,11,988
23,11,984
23,11,984
23,11,983
23,11,987
23,11,988
23,11,984
23,11,984
23,11,986
23,11,985
23,11,986
23,11,985
23,11,988
23,11,989
23,11,984
23,11,986
23,11,985
23,11,985
23,11,985
23,11,987
23,11,986
23,11,985
23,11,985
23,11,988
23,11,986
23,11,986
23,11,989
23,11,987
23,11,984
23,11,988
23,11,988
23,11,987
23,11,986
23,11,988
23,11,988
23,11,989
23,11,987
23,11,986
23,11,985
23,11,988
23,11,989
23,11,985
23,11,984
23,11,984
23,11,986
23,11,985
23,11,984
23,11,984
23,11,984
23,11,987
23,11,986
23,11,989
23,11,986
23,11,989
23,11,986
23,11,984
23,11,988
23,11,987
23,11,987
23,11,989
23,11,988
23,11,991
23,11,987
23,11,985
23,11,986
23,11,989
23,11,989
23,11,986
23,11,986
23,11,989
23,11,987
23,11,984
23,11,988
23,11,988
23,11,986
23,11,985
23,11,988
23,11,984
23,11,990
23,11,985
23,11,988
23,11,988
23,11,991
23,11,984
23,11,989
23,11,987
23,11,987
23,11,989
23,11,987
23,11,989
23,11,984
23,11,987
23,11,985
23,11,988
23,11,988
23,11,987
23,11,987
23,11,988
23,11,987
23,11,987
23,11,988
23,11,984
23,11,988
23,11,988
23,11,988
23,11,984
23,11,986
23,11,988
23,11,985
23,11,986
23,11,988
23,11,988
23,11,984
23,11,988
23,11,985
23,11,985
23,11,989
23,11,984
23,11,986
23,11,985
23,11,986
23,11,987
23,11,985
23,11,987
23,11,986
23,11,985
23,11,984
23,11,988
23,11,988
23,11,984
23,11,986
23,11,987
23,11,990
23,11,987
23,11,987
23,11,990
23,11,987
23,11,984
23,11,987
23,11,985
23,11,988
23,11,988
23,11,987
23,11,986
23,11,983
23,11,984
23,11,988
23,11,985
23,11,988
23,11,990
23,11,990
23,11,985
23,11,985
23,11,985
23,11,985
23,11,985
23,11,985
23,11,988
23,11,985
23,11,985
23,11,983
23,11,988
23,11,988
23,11,985
23,11,985
23,11,986
23,11,984
23,11,984
23,11,989
23,11,986
23,11,990
23,11,990
23,11,990
23,11,989
23,11,990
23,11,987
23,11,986
23,11,988
23,11,985
23,11,987
23,11,986
23,11,987
23,11,988
23,11,984
23,11,984
23,11,987
23,11,985
23,11,986
23,11,987
23,11,986
23,11,985
23,11,990
23,11,986
23,11,984
23,11,987
23,11,988
23,11,986
23,11,986
23,11,986
23,11,987
23,11,986
23,11,986
23,11,984
23,11,986
23,11,987
23,11,987
23,11,990
23,11,986
23,11,989
23,11,987
23,11,989
23,11,987
23,11,984
23,11,986
23,11,986
23,11,987
23,11,985
23,11,985
23,11,985
23,11,983
23,11,987
23,11,986
23,11,985
23,11,988
23,11,989
23,11,986
23,11,989
23,11,988
23,11,989
23,11,988
23,11,991
23,11,986
23,11,991
23,11,989
23,11,989
23,11,989
23,11,990
23,11,984
23,11,988
23,11,984
23,11,985
23,11,987
23,11,985
23,11,985
23,11,986
23,11,985
23,11,986
23,11,987
23,11,986
23,11,985
23,11,984
23,11,984
23,11,988
23,11,989
23,11,989
23,11,990
23,11,988
23,11,990
23,11,990
23,11,984
23,11,988
23,11,988
23,11,986
23,11,987
23,11,989
23,11,987
23,11,983
23,11,988
23,11,984
23,11,985
23,11,987
23,11,987
23,11,985
23,11,984
23,11,988
23,11,987
23,11,987
23,11,986
23,11,987
23,11,989
23,11,986
23,11,991
23,11,988
23,11,987
23,11,990
23,11,990
23,11,990
23,11,987
23,11,984
23,11,985
23,11,986
23,11,984
23,11,985
23,11,987
23,11,986
23,11,984
23,11,988
23,11,988
23,11,986
23,11,984
23,11,990
23,11,986
23,11,989
23,11,989
23,11,987
23,11,989
23,11,984
23,11,985
23,11,985
23,11,987
23,11,985
23,11,989
23,11,985
23,11,984
23,11,986
23,11,988
23,11,989
23,11,984
23,11,986
23,11,987
23,11,986
23,11,984
23,11,989
23,11,985
23,11,989
23,11,985
23,11,985
23,11,985
23,11,986
23,11,988
23,11,989
23,11,990
23,11,986
23,11,987
23,11,989
23,11,990
23,11,989
