T1 (°C),d01 (cm),t01 (us)
23,3,749
23,3,755
23,3,757
23,3,756
23,3,730
23,3,755
23,3,756
23,3,754
23,3,754
23,3,752
23,3,756
23,3,754
23,3,757
23,3,756
23,3,755
23,3,755
23,3,755
23,3,754
23,3,753
23,3,753
23,3,755
23,3,754
23,3,753
23,3,756
23,3,754
23,3,756
23,3,756
23,3,759
23,3,754
23,3,754
23,3,753
23,3,754
23,3,755
23,3,754
23,3,755
23,3,754
23,3,758
23,3,755
23,3,752
23,3,755
23,3,756
23,3,755
23,3,753
23,3,754
23,3,759
23,3,754
23,3,756
23,3,754
23,3,757
23,3,753
23,3,753
23,3,755
23,3,754
23,3,758
23,3,754
23,3,756
23,3,754
23,3,753
23,3,755
23,3,754
23,3,758
23,3,756
23,3,753
23,3,757
23,3,757
23,3,753
23,3,756
23,3,756
23,3,755
23,3,753
23,3,759
23,3,753
23,3,753
23,3,753
23,3,755
23,3,753
23,3,757
23,3,756
23,3,753
23,3,756
23,3,753
23,3,756
23,3,754
23,3,757
23,3,753
23,3,756
23,3,757
23,3,756
23,3,752
23,3,757
23,3,755
23,3,757
23,3,753
23,3,753
23,3,754
23,3,755
23,3,755
23,3,756
23,3,757
23,3,754
23,3,757
23,3,754
23,3,754
23,3,755
23,3,754
23,3,756
23,3,752
23,3,752
23,3,753
23,3,755
23,3,755
23,3,754
23,3,753
23,3,758
23,3,757
23,3,753
23,3,758
23,3,731
23,3,753
23,3,753
23,3,756
23,3,755
23,3,757
23,3,755
23,3,753
23,3,754
23,3,752
23,3,756
23,3,755
23,3,754
23,3,755
23,3,732
23,3,753
23,3,757
23,3,753
23,3,756
23,3,753
23,3,757
23,3,756
23,3,755
23,3,752
23,3,755
23,3,731
23,3,757
23,3,757
23,3,757
23,3,756
23,3,753
23,3,756
23,3,753
23,3,755
23,3,758
23,3,757
23,3,755
23,3,754
23,3,752
23,3,755
23,3,756
23,3,753
23,3,756
23,3,755
23,3,755
23,3,755
23,3,753
23,3,753
23,3,752
23,3,753
23,3,755
23,3,755
23,3,757
23,3,756
23,3,758
23,3,755
23,3,758
23,3,757
23,3,756
23,3,752
23,3,757
23,3,756
23,3,755
23,3,757
23,3,754
23,3,752
23,3,759
23,3,755
23,3,756
23,3,756
23,3,754
23,3,757
23,3,758
23,3,752
23,3,755
23,3,754
23,3,756
