Temperature (°C),d17 (cm),t17 (us)
23,19,1217
23,19,1216
23,19,1214
23,19,1217
23,19,1216
23,19,1219
23,19,1219
23,19,1219
23,19,1217
23,19,1218
23,19,1219
23,19,1219
23,19,1219
23,19,1217
23,19,1218
23,19,1217
23,19,1215
23,19,1216
23,19,1215
23,19,1217
23,19,1215
23,19,1219
23,19,1215
23,19,1215
23,19,1219
23,19,1216
23,19,1217
23,19,1216
23,19,1215
23,19,1218
23,19,1219
23,19,1218
23,19,1217
23,19,1220
23,19,1216
23,19,1218
23,19,1218
23,19,1215
23,19,1222
23,19,1217
23,19,1218
23,19,1218
23,19,1216
23,19,1218
23,19,1219
23,19,1216
23,19,1217
23,19,1221
23,19,1219
23,19,1216
23,19,1217
23,19,1218
23,19,1219
23,19,1214
23,19,1219
23,19,1216
23,19,1217
23,19,1218
23,19,1215
23,19,1216
23,19,1219
23,19,1218
23,19,1218
23,19,1219
23,19,1215
23,19,1219
23,19,1220
23,19,1218
23,19,1218
23,19,1217
23,19,1221
23,19,1216
23,19,1217
23,19,1215
23,19,1217
23,19,1220
23,19,1219
23,19,1219
23,19,1219
23,19,1217
23,19,1217
23,19,1215
23,19,1214
23,19,1217
23,19,1214
23,19,1216
23,19,1218
23,19,1220
23,19,1217
23,19,1217
23,19,1218
23,19,1218
23,19,1218
23,19,1221
23,19,1219
23,19,1217
23,19,1216
23,19,1216
23,19,1219
23,19,1216
23,19,1219
23,19,1215
23,19,1218
23,19,1221
23,19,1218
23,19,1217
23,19,1217
23,19,1219
23,19,1215
23,19,1217
23,19,1218
23,19,1217
23,19,1217
23,19,1219
23,19,1218
23,19,1215
23,19,1216
23,19,1221
23,19,1219
23,19,1218
23,19,1220
23,19,1220
23,19,1219
23,19,1217
23,19,1218
23,19,1221
23,19,1217
23,19,1215
23,19,1216
23,19,1217
23,19,1219
23,19,1217
23,19,1218
23,19,1215
23,19,1217
23,19,1219
23,19,1215
23,19,1218
23,19,1219
23,19,1216
23,19,1221
23,19,1214
23,19,1217
23,19,1216
23,19,1215
23,19,1218
23,19,1221
23,19,1219
23,19,1216
23,19,1217
23,19,1220
23,19,1218
23,19,1220
23,19,1219
23,19,1215
23,19,1217
23,19,1216
23,19,1218
23,19,1218
23,19,1219
23,19,1219
23,19,1217
23,19,1218
23,19,1220
23,19,1220
23,19,1219
23,19,1218
23,19,1216
23,19,1219
23,19,1216
23,19,1217
23,19,1218
23,19,1217
23,19,1215
23,19,1220
23,19,1219
23,19,1218
23,19,1220
23,19,1220
23,19,1219
23,19,1217
23,19,1219
23,19,1216
23,19,1215
23,19,1217
23,19,1217
23,19,1216
23,19,1216
23,19,1219
23,19,1220
23,19,1217
23,19,1219
23,19,1220
23,19,1217
23,19,1221
23,19,1219
23,19,1216
23,19,1216
23,19,1220
23,19,1215
23,19,1220
23,19,1216
23,19,1220
23,19,1217
23,19,1215
23,19,1219
23,19,1217
23,19,1218
23,19,1219
23,19,1217
23,19,1218
23,19,1220
23,19,1216
23,19,1217
23,19,1219
23,19,1217
23,19,1219
23,19,1219
23,19,1217
23,19,1215
23,19,1218
23,19,1217
23,19,1219
23,19,1218
23,19,1219
23,19,1216
23,19,1215
23,19,1216
23,19,1220
23,19,1219
23,19,1219
23,19,1216
23,19,1219
23,19,1217
23,19,1215
23,19,1218
23,19,1220
23,19,1220
23,19,1217
23,19,1217
23,19,1217
23,19,1219
23,19,1216
23,19,1217
23,19,1216
23,19,1217
23,19,1218
23,19,1216
23,19,1217
23,19,1220
23,19,1216
23,19,1217
23,19,1215
23,19,1221
23,19,1216
23,19,1215
23,19,1219
23,19,1215
23,19,1218
23,19,1217
23,19,1217
23,19,1215
23,19,1219
23,19,1220
23,19,1216
23,19,1218
23,19,1218
23,19,1215
23,19,1218
23,19,1218
23,19,1216
23,19,1218
23,19,1220
23,19,1217
23,19,1219
23,19,1218
23,19,1215
23,19,1219
23,19,1217
23,19,1218
23,19,1218
23,19,1220
23,19,1216
23,19,1219
23,19,1215
23,19,1214
23,19,1219
23,19,1218
23,19,1217
23,19,1219
23,19,1216
23,19,1218
23,19,1216
23,19,1219
23,19,1218
23,19,1217
23,19,1220
23,19,1217
23,19,1215
23,19,1217
23,19,1217
23,19,1215
23,19,1215
23,19,1220
23,19,1215
23,19,1216
23,19,1216
23,19,1217
23,19,1216
23,19,1218
23,19,1215
23,19,1215
23,19,1215
23,19,1217
23,19,1216
23,19,1219
23,19,1217
23,19,1217
23,19,1215
23,19,1218
23,19,1218
23,19,1217
23,19,1216
23,19,1216
23,19,1218
23,19,1218
23,19,1217
23,19,1217
23,19,1217
23,19,1217
23,19,1218
23,19,1217
23,19,1217
23,19,1215
23,19,1218
23,19,1216
23,19,1217
23,19,1220
23,19,1220
23,19,1219
23,19,1215
23,19,1218
23,19,1220
23,19,1215
23,19,1217
23,19,1220
23,19,1217
23,19,1219
23,19,1216
23,19,1218
23,19,1218
23,19,1216
23,19,1217
23,19,1216
23,19,1218
23,19,1219
23,19,1219
23,19,1215
23,19,1219
23,19,1218
23,19,1218
23,19,1220
23,19,1215
23,19,1218
23,19,1219
23,19,1216
23,19,1219
23,19,1216
23,19,1216
23,19,1215
23,19,1216
23,19,1216
23,19,1216
23,19,1216
23,19,1218
23,19,1217
23,19,1218
23,19,1217
23,19,1215
23,19,1216
23,19,1215
23,19,1216
23,19,1217
23,19,1220
23,19,1219
23,19,1218
23,19,1219
23,19,1217
23,19,1216
23,19,1216
23,19,1218
23,19,1217
23,19,1216
23,19,1216
23,19,1216
23,19,1219
23,19,1220
23,19,1216
23,19,1217
23,19,1219
23,19,1217
23,19,1218
23,19,1215
23,19,1215
23,19,1216
23,19,1219
23,19,1215
23,19,1218
23,19,1219
23,19,1217
23,19,1215
23,19,1216
23,19,1215
23,19,1218
23,19,1216
23,19,1223
23,19,1216
23,19,1219
23,19,1219
23,19,1216
23,19,1220
23,19,1219
23,19,1220
23,19,1217
23,19,1217
23,19,1220
23,19,1216
23,19,1218
23,19,1215
23,19,1215
23,19,1219
23,19,1217
23,19,1218
23,19,1218
23,19,1218
23,19,1221
23,19,1215
23,19,1219
23,19,1220
23,19,1216
23,19,1215
23,19,1219
23,19,1216
23,19,1218
23,19,1218
23,19,1218
23,19,1216
23,19,1217
23,19,1218
23,19,1222
23,19,1216
23,19,1214
23,19,1219
23,19,1216
23,19,1216
23,19,1216
23,19,1219
23,19,1215
23,19,1220
23,19,1220
23,19,1217
23,19,1215
23,19,1219
23,19,1218
23,19,1216
23,19,1216
23,19,1217
23,19,1215
23,19,1221
23,19,1217
23,19,1219
23,19,1216
23,19,1218
23,19,1221
23,19,1219
23,19,1216
23,19,1216
23,19,1219
23,19,1215
23,19,1219
23,19,1217
23,19,1218
23,19,1216
23,19,1219
23,19,1217
23,19,1218
23,19,1217
23,19,1218
23,19,1219
23,19,1219
23,19,1220
23,19,1219
23,19,1217
23,19,1220
23,19,1216
23,19,1219
23,19,1216
23,19,1216
23,19,1220
23,19,1215
23,19,1215
23,19,1215
23,19,1215
23,19,1217
23,19,1220
23,19,1219
23,19,1218
23,19,1220
23,19,1215
23,19,1217
23,19,1217
23,19,1219
23,19,1220
23,19,1217
23,19,1215
23,19,1218
23,19,1218
23,19,1215
23,19,1218
23,19,1217
23,19,1216
23,19,1220
23,19,1219
23,19,1218
23,19,1215
23,19,1216
23,19,1221
23,19,1215
23,19,1217
23,19,1219
23,19,1220
23,19,1217
23,19,1215
23,19,1218
23,19,1219
23,19,1219
23,19,1216
23,19,1217
23,19,1217
23,19,1217
23,19,1217
23,19,1219
23,19,1217
23,19,1218
23,19,1219
23,19,1216
23,19,1216
23,19,1216
23,19,1217
23,19,1217
23,19,1217
23,19,1215
23,19,1215
23,19,1221
23,19,1220
23,19,1217
23,19,1219
23,19,1221
23,19,1215
23,19,1219
23,19,1216
23,19,1216
23,19,1219
23,19,1220
23,19,1217
23,19,1218
23,19,1216
23,19,1215
23,19,1216
23,19,1216
23,19,1216
23,19,1219
23,19,1218
23,19,1217
23,19,1214
23,19,1216
23,19,1216
23,19,1216
23,19,1217
23,19,1217
23,19,1219
23,19,1216
23,19,1216
23,19,1215
23,19,1219
23,19,1216
23,19,1215
23,19,1219
23,19,1220
23,19,1216
23,19,1217
23,19,1219
23,19,1217
23,19,1219
23,19,1218
23,19,1218
23,19,1221
23,19,1219
23,19,1216
23,19,1220
23,19,1221
23,19,1218
23,19,1217
23,19,1216
23,19,1215
23,19,1220
23,19,1215
23,19,1216
23,19,1216
23,19,1217
23,19,1218
23,19,1215
23,19,1216
23,19,1219
23,19,1219
23,19,1217
23,19,1215
23,19,1216
23,19,1218
23,19,1218
23,19,1219
23,19,1214
23,19,1220
23,19,1216
23,19,1215
23,19,1215
23,19,1218
23,19,1215
23,19,1218
23,19,1219
23,19,1216
23,19,1220
23,19,1218
23,19,1220
23,19,1219
23,19,1215
23,19,1219
23,19,1215
23,19,1217
23,19,1215
23,19,1217
23,19,1219
23,19,1215
23,19,1215
23,19,1215
23,19,1216
23,19,1217
23,19,1220
23,19,1216
23,19,1217
23,19,1216
23,19,1219
23,19,1217
23,19,1216
23,19,1218
23,19,1216
23,19,1216
23,19,1220
23,19,1217
23,19,1218
23,19,1216
23,19,1217
23,19,1216
23,19,1217
23,19,1221
23,19,1216
23,19,1217
23,19,1218
23,19,1218
23,19,1220
23,19,1215
23,19,1220
23,19,1216
23,19,1215
23,19,1219
23,19,1219
23,19,1218
23,19,1215
23,19,1220
23,19,1218
23,19,1216
23,19,1219
23,19,1219
23,19,1218
23,19,1218
23,19,1217
23,19,1219
23,19,1216
23,19,1219
23,19,1219
23,19,1214
23,19,1219
23,19,1218
23,19,1216
23,19,1215
23,19,1216
23,19,1218
23,19,1216
23,19,1216
23,19,1218
23,19,1216
23,19,1217
23,19,1215
23,19,1220
23,19,1215
23,19,1217
23,19,1218
23,19,1219
23,19,1219
23,19,1219
23,19,1218
23,19,1219
23,19,1217
23,19,1218
23,19,1217
23,19,1217
23,19,1217
23,19,1220
23,19,1215
23,19,1217
23,19,1219
23,19,1215
23,19,1218
23,19,1217
23,19,1218
23,19,1216
23,19,1220
23,19,1219
23,19,1217
23,19,1218
23,19,1216
23,19,1219
23,19,1220
23,19,1217
23,19,1218
23,19,1220
23,19,1216
23,19,1218
23,19,1218
23,19,1219
23,19,1216
23,19,1220
23,19,1219
23,19,1218
23,19,1218
23,19,1215
23,19,1218
23,19,1220
23,19,1184
23,19,1215
23,19,1219
23,19,1217
23,19,1215
23,19,1215
23,19,1216
23,19,1218
23,19,1216
23,19,1219
23,19,1220
23,19,1219
23,19,1218
23,19,1215
23,19,1216
23,19,1215
23,19,1217
23,19,1219
23,19,1219
23,19,1217
23,19,1215
23,19,1219
23,19,1221
23,19,1220
23,19,1218
23,19,1217
23,19,1216
23,19,1215
23,19,1215
23,19,1218
23,19,1219
23,19,1215
23,19,1219
23,19,1215
23,19,1219
23,19,1220
23,19,1216
23,19,1220
23,19,113
23,19,1187
23,19,1215
23,19,1219
23,19,1219
23,19,1219
23,19,1219
23,19,1217
23,19,1188
23,19,1216
23,19,1217
23,19,1215
23,19,1216
23,19,1216
23,19,1215
23,19,1217
23,19,1219
23,19,1216
23,19,1217
23,19,1216
23,19,1218
23,19,1220
23,19,1217
23,19,1217
23,19,1216
23,19,1217
23,19,1216
23,19,1218
23,19,1215
23,19,1216
23,19,1215
23,19,1218
23,19,1216
23,19,1221
23,19,1220
23,19,1219
23,19,1219
23,19,1217
23,19,1217
23,19,1219
23,19,1217
23,19,1217
23,19,1217
23,19,1217
23,19,1218
23,19,1219
23,19,1216
23,19,1219
23,19,1220
23,19,1218
23,19,1220
23,19,1216
23,19,1218
23,19,1217
23,19,1218
23,19,1218
23,19,1220
23,19,1219
23,19,1216
23,19,1217
23,19,1220
23,19,1215
23,19,1217
23,19,1216
23,19,1216
23,19,1216
23,19,1215
23,19,1217
23,19,1217
23,19,1220
23,19,1217
23,19,1215
23,19,1215
23,19,1216
23,19,1216
23,19,1217
23,19,1216
23,19,1219
23,19,1218
23,19,1216
23,19,1220
23,19,1215
23,19,1219
23,19,1218
23,19,1220
23,19,1216
23,19,1218
23,19,1217
23,19,1218
23,19,1219
23,19,1217
23,19,1218
23,19,1215
23,19,1217
23,19,1215
23,19,1214
23,19,1216
