Temperature (°C),d15 (cm),t15 (us)
23,17,1157
23,17,1118
23,17,1123
23,17,1159
23,17,1161
23,17,1159
23,17,1161
23,17,1156
23,17,1157
23,17,1158
23,17,1128
23,17,1161
23,17,1161
23,17,1157
23,17,1159
23,17,1162
23,17,1160
23,17,1129
23,17,1164
23,17,1161
23,17,1160
23,17,1160
23,17,1157
23,17,1162
23,17,1157
23,17,1160
23,17,1160
23,17,1160
23,17,1160
23,17,1156
23,17,1159
23,17,1161
23,17,1133
23,17,1160
23,17,1157
23,17,1160
23,17,1159
23,17,1159
23,17,1160
23,17,1158
23,17,1129
23,17,1158
23,17,1161
23,17,1160
23,17,1162
23,17,1160
23,17,1158
23,17,1157
23,17,1158
23,17,1159
23,17,1159
23,17,1160
23,17,1160
23,17,1158
23,17,1158
23,17,1161
23,17,1158
23,17,1158
23,17,1160
23,17,1160
23,17,1159
23,17,1162
23,17,1124
23,17,1156
23,17,1157
23,17,1158
23,17,1161
23,17,1158
23,17,1159
23,17,1160
23,17,1157
23,17,1156
23,17,1162
23,17,1160
23,17,1160
23,17,1161
23,17,1156
23,17,1161
23,17,1160
23,17,1163
23,17,1158
23,17,1159
23,17,1159
23,17,1162
23,17,1160
23,17,1158
23,17,1130
23,17,1157
23,17,1161
23,17,1128
23,17,1161
23,17,1161
23,17,1158
23,17,1163
23,17,1128
23,17,1159
23,17,1162
23,17,1162
23,17,1162
23,17,1171
23,17,1070
23,17,1161
23,17,1159
23,17,193
23,17,1065
23,17,1158
23,17,1131
23,17,1159
23,17,1158
23,17,1160
23,17,1156
23,17,1123
23,17,1159
23,17,1159
23,17,1164
23,17,1165
23,17,1161
23,17,1159
23,17,1161
23,17,1159
23,17,1156
23,17,1158
23,17,1161
23,17,1158
23,17,1163
23,17,1158
23,17,1161
23,17,1160
23,17,65
23,17,1160
23,17,1129
23,17,1160
23,17,1164
23,17,119
23,17,515
23,17,152
23,17,1110
23,17,1161
23,17,630
23,17,1165
23,17,1166
23,17,1160
23,17,1116
23,17,1158
23,17,1157
23,17,1131
23,17,232
23,17,1067
23,17,1158
23,17,1161
23,17,1162
23,17,1159
23,17,1157
23,17,1157
23,17,1158
23,17,1157
23,17,1161
23,17,1158
23,17,1159
23,17,1159
23,17,1160
23,17,1159
23,17,194
23,17,1159
23,17,215
23,17,1120
23,17,1162
23,17,1161
23,17,1158
23,17,1158
23,17,1161
23,17,1158
23,17,1159
23,17,1161
23,17,1161
23,17,1158
23,17,1156
23,17,1157
23,17,1161
23,17,1161
23,17,1159
23,17,1160
23,17,1162
23,17,1160
23,17,1159
23,17,1161
23,17,1121
23,17,1161
23,17,1159
23,17,1157
23,17,1161
23,17,1158
23,17,1162
23,17,1162
23,17,1129
23,17,1161
23,17,1156
23,17,1163
23,17,1127
23,17,1157
23,17,1157
23,17,1162
23,17,1157
23,17,1156
23,17,1159
23,17,1157
23,17,1159
23,17,1162
23,17,1157
23,17,217
23,17,1117
23,17,1163
23,17,1160
23,17,211
23,17,1124
23,17,1157
23,17,1161
23,17,1161
23,17,1124
23,17,1159
23,17,1157
23,17,1159
23,17,1163
23,17,1157
23,17,1157
23,17,214
23,17,1126
23,17,1157
23,17,1131
23,17,1162
23,17,1161
23,17,1159
23,17,1159
23,17,1163
23,17,1158
23,17,1160
23,17,172
23,17,1159
23,17,1161
23,17,1159
23,17,1157
23,17,1160
23,17,1157
23,17,1158
23,17,1131
23,17,1159
23,17,1157
23,17,1162
23,17,1161
23,17,1160
23,17,1161
23,17,1161
23,17,1160
23,17,1160
23,17,1160
23,17,1158
23,17,1157
23,17,1160
23,17,1160
23,17,1160
23,17,1130
23,17,1162
23,17,1160
23,17,1156
23,17,1159
23,17,1158
23,17,1158
23,17,1130
23,17,1157
23,17,1160
23,17,1158
23,17,1163
23,17,1158
23,17,1159
23,17,1158
23,17,1159
23,17,1160
23,17,1158
23,17,1160
23,17,1161
23,17,1161
23,17,1158
23,17,1161
23,17,1158
23,17,1161
23,17,1156
23,17,1162
23,17,1157
23,17,1160
23,17,1159
23,17,1160
23,17,1160
23,17,1158
23,17,1130
23,17,1160
23,17,1162
23,17,1156
23,17,1156
23,17,1161
23,17,1132
23,17,1157
23,17,1163
23,17,1157
23,17,1161
23,17,1157
23,17,1159
23,17,1158
23,17,1158
23,17,1161
23,17,1157
23,17,1157
23,17,1161
23,17,1162
23,17,1163
23,17,1131
23,17,1156
23,17,1162
23,17,1158
23,17,1160
23,17,1157
23,17,1158
23,17,1159
23,17,1161
23,17,1162
23,17,1162
23,17,1159
23,17,1129
23,17,1161
23,17,1158
23,17,1161
23,17,1159
23,17,1161
23,17,1159
23,17,1161
23,17,1158
23,17,1126
23,17,1161
23,17,1157
23,17,1160
23,17,1160
23,17,1159
23,17,126
23,17,1162
23,17,1122
23,17,1157
23,17,1120
23,17,1160
23,17,1161
23,17,1157
23,17,1164
23,17,1160
23,17,1158
23,17,1160
23,17,1157
23,17,1157
23,17,1157
23,17,1162
23,17,1130
23,17,1158
23,17,1158
23,17,1162
23,17,1156
23,17,1158
23,17,1161
23,17,1157
23,17,1162
23,17,1159
23,17,1160
23,17,1161
23,17,1158
23,17,1159
23,17,1159
23,17,1160
23,17,1161
23,17,1161
23,17,1161
23,17,1158
23,17,1160
23,17,1160
23,17,1160
23,17,1161
23,17,1158
23,17,1159
23,17,1161
23,17,1161
23,17,1157
23,17,1159
23,17,1161
23,17,1158
23,17,1159
23,17,1159
23,17,1161
23,17,1158
23,17,1160
23,17,1161
23,17,1159
23,17,1128
23,17,1159
23,17,1159
23,17,1159
23,17,1158
23,17,1156
23,17,1160
23,17,1157
23,17,1156
23,17,1161
23,17,1161
23,17,1159
23,17,1156
23,17,1162
23,17,1160
23,17,1158
23,17,1160
23,17,1125
23,17,1158
23,17,1159
23,17,1157
23,17,1160
23,17,1158
23,17,1161
23,17,1160
23,17,1120
23,17,1158
23,17,1124
23,17,1164
23,17,1158
23,17,1158
23,17,1159
23,17,1128
23,17,1159
23,17,1156
23,17,1157
23,17,1158
23,17,1161
23,17,1157
23,17,1161
23,17,1156
23,17,1134
23,17,1159
23,17,1159
23,17,1162
23,17,1157
23,17,1158
23,17,1162
23,17,1160
23,17,1157
23,17,1158
23,17,1158
23,17,1161
23,17,1161
23,17,1158
23,17,1131
23,17,1159
23,17,1156
23,17,1162
23,17,1159
23,17,1162
23,17,1160
23,17,1161
23,17,1157
23,17,1160
23,17,1160
23,17,1127
23,17,1159
23,17,1162
23,17,1160
23,17,1157
23,17,1159
23,17,1161
23,17,1131
23,17,1161
23,17,1158
23,17,1158
23,17,1159
23,17,1163
23,17,1131
23,17,1158
23,17,139
23,17,1116
23,17,1160
23,17,1157
23,17,1161
23,17,1160
23,17,1158
23,17,1161
23,17,1159
23,17,1159
23,17,1162
23,17,1162
23,17,1158
23,17,1157
23,17,1158
23,17,1160
23,17,1156
23,17,1123
23,17,1162
23,17,1158
23,17,1157
23,17,1158
23,17,1161
23,17,1158
23,17,1157
23,17,1159
23,17,1157
23,17,1124
23,17,1158
23,17,1158
23,17,1160
23,17,1161
23,17,1129
23,17,1159
23,17,1158
23,17,1160
23,17,1159
23,17,1161
23,17,1157
23,17,1160
23,17,1158
23,17,1158
23,17,1159
23,17,1157
23,17,1162
23,17,1160
23,17,1158
23,17,1160
23,17,1160
23,17,1157
23,17,1157
23,17,1158
23,17,1159
23,17,1160
23,17,1160
23,17,1162
23,17,1157
23,17,1158
23,17,1160
23,17,1133
23,17,1160
23,17,1157
23,17,1159
23,17,1160
23,17,1158
23,17,1163
23,17,1161
23,17,1158
23,17,1158
23,17,1158
23,17,1162
23,17,1160
23,17,1161
23,17,1157
23,17,1157
23,17,1160
23,17,1160
23,17,1158
23,17,1159
23,17,1158
23,17,1161
23,17,1130
23,17,1158
23,17,1157
23,17,1160
23,17,1131
23,17,1158
23,17,1161
23,17,1161
23,17,1162
23,17,1117
23,17,1161
23,17,1159
23,17,1160
23,17,1161
23,17,1157
23,17,1158
23,17,1160
23,17,1157
23,17,1157
23,17,1158
23,17,1160
23,17,1161
23,17,1158
23,17,1156
23,17,1157
23,17,1160
23,17,1157
23,17,1158
23,17,1161
23,17,1161
23,17,1159
23,17,1159
23,17,1125
23,17,1157
23,17,1159
23,17,1157
23,17,1161
23,17,1159
23,17,1159
23,17,1135
23,17,1159
23,17,1157
23,17,1157
23,17,1133
23,17,1159
23,17,1157
23,17,1158
23,17,1158
23,17,1159
23,17,1157
23,17,1158
23,17,1131
23,17,1158
23,17,1157
23,17,1158
23,17,1160
23,17,1158
23,17,1164
23,17,1161
23,17,1159
23,17,1159
23,17,1158
23,17,1160
23,17,1159
23,17,1160
23,17,1160
23,17,1156
23,17,231
23,17,1064
23,17,1159
23,17,1158
23,17,1160
23,17,1160
23,17,1158
23,17,1130
23,17,1160
23,17,1157
23,17,1129
23,17,1159
23,17,1158
23,17,1159
23,17,1160
23,17,1161
23,17,1162
23,17,1127
23,17,1157
23,17,1157
23,17,1160
23,17,1162
23,17,1159
23,17,1127
23,17,1159
23,17,1159
23,17,1157
23,17,1158
23,17,1161
23,17,1161
23,17,1161
23,17,1157
23,17,1161
23,17,1158
23,17,1157
23,17,1156
23,17,1159
23,17,1158
23,17,1159
23,17,1158
23,17,1157
23,17,1160
23,17,1161
23,17,1157
23,17,1161
23,17,1161
23,17,1158
23,17,1157
23,17,1159
23,17,1160
23,17,1158
23,17,1161
23,17,1157
23,17,1157
23,17,1160
23,17,1158
23,17,1161
23,17,1127
23,17,1159
23,17,1160
23,17,1160
23,17,1156
23,17,1160
23,17,1129
23,17,1157
23,17,1156
23,17,1161
23,17,1162
23,17,1132
23,17,1162
23,17,1161
23,17,1160
23,17,1160
23,17,1158
23,17,1162
23,17,1157
23,17,1160
23,17,1159
23,17,1160
23,17,1159
23,17,1159
23,17,1162
23,17,1160
23,17,1156
23,17,1156
23,17,1160
23,17,1161
23,17,1160
23,17,1159
23,17,1161
23,17,1156
23,17,1158
23,17,1159
23,17,1162
23,17,1160
23,17,1157
23,17,1132
23,17,1158
23,17,1128
23,17,1160
23,17,1130
23,17,1161
23,17,1156
23,17,1158
23,17,1160
23,17,1160
23,17,1128
23,17,237
23,17,1113
23,17,1161
23,17,1164
23,17,1163
23,17,1125
23,17,1157
23,17,1159
23,17,1160
23,17,1158
23,17,1161
23,17,1159
23,17,1157
23,17,1159
23,17,1162
23,17,1157
23,17,1156
23,17,1159
23,17,1158
23,17,1157
23,17,1160
23,17,1161
23,17,1161
23,17,1161
23,17,1158
23,17,1159
23,17,1124
23,17,1157
23,17,1159
23,17,1156
23,17,1159
23,17,1157
23,17,1161
23,17,1159
23,17,1159
23,17,1157
23,17,1162
23,17,1159
23,17,1157
23,17,1158
23,17,1158
23,17,1128
23,17,1159
23,17,1157
23,17,1157
23,17,1159
23,17,1160
23,17,1159
23,17,1157
23,17,1158
23,17,1162
23,17,1158
23,17,1157
23,17,1157
23,17,1161
23,17,1160
23,17,1159
23,17,1161
23,17,1162
23,17,1127
23,17,1157
23,17,1157
23,17,1161
23,17,1157
23,17,1159
23,17,1159
23,17,1157
23,17,1160
23,17,1130
23,17,1161
23,17,1159
23,17,1159
23,17,1158
23,17,1162
23,17,1157
23,17,1159
23,17,1160
23,17,1158
23,17,1159
23,17,1162
23,17,1162
23,17,1161
23,17,1158
23,17,1158
23,17,1162
23,17,1157
23,17,1160
23,17,1157
23,17,1161
23,17,1160
23,17,1127
23,17,1159
23,17,1159
23,17,1161
23,17,1158
23,17,1160
23,17,1159
23,17,1158
23,17,1158
23,17,1157
23,17,1161
23,17,1157
23,17,1162
23,17,1156
23,17,1159
23,17,1156
23,17,1157
23,17,1159
23,17,1157
23,17,1160
23,17,1160
23,17,1161
23,17,1161
23,17,1161
23,17,1156
23,17,1159
23,17,1161
23,17,1157
23,17,1157
23,17,1156
23,17,1161
23,17,1158
23,17,1161
23,17,1131
23,17,1156
23,17,1157
23,17,1158
23,17,1158
23,17,1157
23,17,1162
23,17,1158
23,17,1156
23,17,1159
23,17,1158
23,17,1160
23,17,1161
23,17,1162
23,17,1160
23,17,1159
23,17,1158
23,17,1160
23,17,1126
23,17,1160
23,17,1162
23,17,1158
23,17,1161
23,17,1157
23,17,1157
23,17,1161
23,17,1163
23,17,1158
23,17,1158
23,17,1157
23,17,1161
23,17,1159
23,17,1130
23,17,1160
23,17,1161
23,17,1161
23,17,1160
23,17,1160
23,17,1157
23,17,1157
23,17,1160
23,17,1156
23,17,1157
23,17,1157
23,17,1161
23,17,1161
23,17,1162
23,17,1160
23,17,1158
23,17,1160
23,17,1158
23,17,1159
23,17,1158
23,17,1158
23,17,1157
23,17,1161
23,17,1161
23,17,1160
23,17,1158
23,17,1160
23,17,1160
23,17,1160
23,17,1159
23,17,1157
23,17,1160
23,17,1162
23,17,1159
23,17,1160
23,17,1157
23,17,1162
23,17,1159
23,17,1160
23,17,1162
23,17,1162
23,17,1159
23,17,1158
23,17,1158
23,17,1159
23,17,1160
23,17,1157
23,17,1159
23,17,1131
23,17,1157
23,17,1161
23,17,1158
23,17,1158
23,17,1163
23,17,1160
23,17,1161
23,17,1157
23,17,1131
23,17,1160
23,17,1157
23,17,1130
23,17,1160
23,17,1162
23,17,1160
23,17,1159
23,17,1162
23,17,1160
23,17,1156
23,17,1157
23,17,1157
23,17,1161
23,17,1132
23,17,1161
23,17,1160
23,17,1160
23,17,1161
23,17,1158
23,17,1163
23,17,1162
23,17,1162
23,17,1159
23,17,1126
23,17,1158
23,17,1132
23,17,1159
23,17,1160
23,17,1160
23,17,1161
23,17,1159
23,17,1131
23,17,1159
23,17,1157
23,17,1164
23,17,1159
23,17,1159
23,17,1158
23,17,1160
23,17,1159
23,17,1158
23,17,168
23,17,1120
23,17,1126
23,17,1160
23,17,1129
23,17,1161
23,17,1162
23,17,1161
23,17,1158
23,17,1125
23,17,1160
23,17,1159
23,17,1159
