T2 (°C),d02 (cm),t02 (us)
23,4,790
23,4,751
23,4,789
23,4,790
23,4,785
23,4,755
23,4,761
23,4,761
23,4,761
23,4,788
23,4,757
23,4,785
23,4,762
23,4,786
23,4,759
23,4,787
23,4,762
23,4,787
23,4,755
23,4,788
23,4,758
23,4,789
23,4,761
23,4,787
23,4,756
23,4,788
23,4,764
23,4,760
23,4,785
23,4,764
23,4,758
23,4,790
23,4,760
23,4,787
23,4,763
23,4,787
23,4,789
23,4,789
23,4,785
23,4,754
23,4,787
23,4,756
23,4,787
23,4,753
23,4,786
23,4,762
23,4,787
23,4,761
23,4,786
23,4,753
23,4,787
23,4,758
23,4,786
23,4,753
23,4,787
23,4,762
23,4,785
23,4,758
23,4,789
23,4,752
23,4,788
23,4,759
23,4,790
23,4,759
23,4,787
23,4,764
23,4,788
23,4,788
23,4,758
23,4,763
23,4,787
23,4,761
23,4,787
23,4,764
23,4,787
23,4,757
23,4,787
23,4,758
23,4,788
23,4,787
23,4,756
23,4,786
23,4,748
23,4,790
23,4,762
23,4,786
23,4,756
23,4,789
23,4,787
23,4,752
23,4,785
23,4,753
23,4,787
23,4,753
23,4,785
23,4,753
23,4,789
23,4,761
23,4,790
23,4,761
23,4,785
23,4,788
23,4,756
23,4,787
23,4,756
23,4,788
23,4,762
23,4,787
23,4,789
23,4,764
23,4,789
23,4,759
23,4,789
23,4,755
23,4,787
23,4,759
23,4,786
23,4,784
23,4,758
23,4,787
23,4,756
23,4,790
23,4,760
23,4,758
23,4,786
23,4,758
23,4,785
23,4,759
23,4,786
23,4,763
23,4,789
23,4,764
23,4,786
23,4,761
23,4,759
23,4,790
23,4,762
23,4,763
23,4,789
23,4,760
23,4,789
23,4,753
23,4,790
23,4,757
23,4,791
23,4,751
23,4,788
23,4,756
23,4,786
23,4,756
23,4,789
23,4,761
23,4,788
23,4,788
23,4,756
23,4,791
23,4,762
23,4,789
23,4,764
23,4,763
23,4,786
23,4,757
23,4,789
23,4,762
23,4,786
23,4,760
23,4,785
23,4,765
23,4,763
23,4,787
23,4,756
23,4,790
23,4,759
23,4,785
23,4,762
23,4,789
23,4,756
23,4,790
23,4,751
23,4,790
23,4,757
23,4,791
23,4,759
23,4,788
23,4,757
23,4,786
23,4,757
23,4,787
23,4,757
23,4,787
23,4,756
23,4,788
23,4,764
23,4,785
23,4,760
23,4,785
23,4,786
23,4,755
23,4,789
23,4,755
23,4,788
23,4,758
23,4,787
23,4,762
23,4,757
23,4,788
23,4,754
23,4,789
23,4,756
23,4,785
23,4,757
23,4,761
23,4,787
23,4,757
23,4,787
23,4,757
23,4,788
23,4,753
23,4,790
23,4,754
23,4,787
23,4,756
23,4,788
23,4,759
23,4,787
23,4,757
23,4,786
23,4,763
23,4,788
23,4,756
23,4,789
23,4,756
23,4,786
23,4,791
23,4,787
23,4,756
23,4,785
23,4,786
23,4,760
23,4,788
23,4,758
23,4,790
23,4,748
23,4,211
