Temperature (°C),d16 (cm),t16 (us)
23,18,1186
23,18,1188
23,18,1188
23,18,1153
23,18,1190
23,18,1155
23,18,1189
23,18,1154
23,18,1189
23,18,1187
23,18,1187
23,18,1191
23,18,1156
23,18,1185
23,18,1157
23,18,1189
23,18,1151
23,18,1191
23,18,1187
23,18,1190
23,18,1156
23,18,1188
23,18,1155
23,18,1190
23,18,1160
23,18,1188
23,18,1188
23,18,1189
23,18,1192
23,18,1188
23,18,1188
23,18,1188
23,18,1186
23,18,1188
23,18,1189
23,18,1186
23,18,1152
23,18,1185
23,18,1189
23,18,1156
23,18,1187
23,18,1156
23,18,1185
23,18,1186
23,18,1188
23,18,1155
23,18,1190
23,18,1190
23,18,1153
23,18,1187
23,18,1192
23,18,1156
23,18,1188
23,18,1153
23,18,1188
23,18,1155
23,18,1187
23,18,1186
23,18,1157
23,18,1188
23,18,1148
23,18,1187
23,18,1151
23,18,1190
23,18,1160
23,18,1186
23,18,1151
23,18,1150
23,18,217
23,18,1085
23,18,1189
23,18,1189
23,18,1188
23,18,1154
23,18,1188
23,18,1186
23,18,1190
23,18,1189
23,18,188
23,18,1082
23,18,1189
23,18,1186
23,18,1190
23,18,1189
23,18,1188
23,18,1187
23,18,1189
23,18,1187
23,18,1191
23,18,1151
23,18,1189
23,18,1185
23,18,1192
23,18,1188
23,18,1186
23,18,1189
23,18,1190
23,18,1188
23,18,1186
23,18,1153
23,18,1189
23,18,1187
23,18,1153
23,18,1189
23,18,1152
23,18,1188
23,18,1188
23,18,1158
23,18,1189
23,18,1190
23,18,1190
23,18,1150
23,18,1186
23,18,1188
23,18,1189
23,18,1154
23,18,1186
23,18,1190
23,18,1190
23,18,1153
23,18,1189
23,18,1158
23,18,1187
23,18,1191
23,18,1157
23,18,1187
23,18,1158
23,18,1185
23,18,1188
23,18,1187
23,18,1153
23,18,1156
23,18,1187
23,18,1187
23,18,1189
23,18,1157
23,18,1190
23,18,1151
23,18,1186
23,18,1152
23,18,1186
23,18,1190
23,18,1189
23,18,1186
23,18,1192
23,18,1159
23,18,1150
23,18,1186
23,18,1155
23,18,1186
23,18,1188
23,18,1189
23,18,1149
23,18,1187
23,18,1187
23,18,1155
23,18,1187
23,18,1190
23,18,1189
23,18,1154
23,18,1186
23,18,1152
23,18,1185
23,18,1188
23,18,1190
23,18,1187
23,18,1154
23,18,1189
23,18,1155
23,18,1188
23,18,1158
23,18,1191
23,18,1190
23,18,1191
23,18,1150
23,18,1189
23,18,1151
23,18,1188
23,18,1151
23,18,1185
23,18,1156
23,18,1190
23,18,1187
23,18,1151
23,18,1187
23,18,1160
23,18,1189
23,18,1153
23,18,1186
23,18,1190
23,18,1188
23,18,1187
23,18,1188
23,18,1155
23,18,1154
23,18,1188
23,18,1156
23,18,1159
23,18,1188
23,18,1188
23,18,1159
23,18,1188
23,18,1157
23,18,1155
23,18,1190
23,18,1155
23,18,1190
23,18,1153
23,18,1188
23,18,1187
23,18,1152
23,18,1190
23,18,1190
23,18,1153
23,18,1190
23,18,1189
23,18,1155
23,18,1191
23,18,1187
23,18,1189
23,18,1146
23,18,1189
23,18,1187
23,18,1153
23,18,1188
23,18,1191
23,18,1156
23,18,1188
23,18,1154
23,18,1157
23,18,1187
23,18,1186
23,18,1154
23,18,1192
23,18,1157
23,18,1187
23,18,1155
23,18,1186
23,18,1150
23,18,1187
23,18,1186
23,18,1186
23,18,1151
23,18,1192
23,18,1151
23,18,1189
23,18,1155
23,18,1188
23,18,1191
23,18,1157
23,18,1188
23,18,1189
23,18,1154
23,18,1186
23,18,1155
23,18,1187
23,18,1189
23,18,1186
23,18,1191
23,18,1155
23,18,1189
23,18,1156
23,18,1189
23,18,1153
23,18,1189
23,18,1188
23,18,1189
23,18,1157
23,18,1187
23,18,1158
23,18,1187
