Temperature (°C),d21 (cm),t21 (us)
23,23,1332
23,23,1335
23,23,1332
23,23,1335
23,23,1337
23,23,1337
23,23,1334
23,23,1334
23,23,1336
23,23,1335
23,23,1337
23,23,1337
23,23,1334
23,23,1334
23,23,1335
23,23,1335
23,23,1334
23,23,1335
23,23,1336
23,23,1334
23,23,1333
23,23,1335
23,23,1339
23,23,1333
23,23,1336
23,23,1333
23,23,1333
23,23,1337
23,23,1333
23,23,1335
23,23,1335
23,23,1335
23,23,1336
23,23,1333
23,23,1338
23,23,1337
23,23,1337
23,23,1335
23,23,1336
23,23,1337
23,23,1333
23,23,1337
23,23,1336
23,23,1336
23,23,1335
23,23,1334
23,23,1338
23,23,1337
23,23,1333
23,23,1338
23,23,1334
23,23,1336
23,23,1338
23,23,1334
23,23,1335
23,23,1336
23,23,1336
23,23,1337
23,23,1333
23,23,1335
23,23,1334
23,23,1334
23,23,1335
23,23,1338
23,23,1334
23,23,1337
23,23,1334
23,23,1334
23,23,1337
23,23,1335
23,23,1337
23,23,1337
23,23,1337
23,23,1335
23,23,1335
23,23,1340
23,23,1335
23,23,1339
23,23,1334
23,23,1336
23,23,1333
23,23,1336
23,23,1339
23,23,1335
23,23,1337
23,23,1336
23,23,1337
23,23,1334
23,23,1336
23,23,1340
23,23,1336
23,23,1334
23,23,1337
23,23,1334
23,23,1336
23,23,1335
23,23,1334
23,23,1337
23,23,1334
23,23,1335
23,23,1336
23,23,1333
23,23,1336
23,23,1336
23,23,1333
23,23,1340
23,23,1333
23,23,1335
23,23,1337
23,23,1337
23,23,1334
23,23,1338
23,23,1336
23,23,1339
23,23,1337
23,23,1336
23,23,1336
23,23,1339
23,23,1333
23,23,1334
23,23,1337
23,23,1335
23,23,1337
23,23,1336
23,23,1333
23,23,1334
23,23,1336
23,23,1336
23,23,1336
23,23,1333
23,23,1338
23,23,1335
23,23,1334
23,23,1335
23,23,1334
23,23,1337
23,23,1337
23,23,1338
23,23,1333
23,23,1336
23,23,1337
23,23,1335
23,23,1337
23,23,1336
23,23,1333
23,23,1336
23,23,1337
23,23,1340
23,23,1337
23,23,1336
23,23,1336
23,23,1336
23,23,1335
23,23,1333
23,23,1336
23,23,1337
23,23,1335
23,23,1335
23,23,1334
23,23,1335
23,23,1336
23,23,1334
23,23,1333
23,23,1334
23,23,1338
23,23,1337
23,23,1334
23,23,1334
23,23,1337
23,23,1336
23,23,1335
23,23,1335
23,23,1339
23,23,1334
23,23,1335
23,23,1337
23,23,1334
23,23,1334
23,23,1336
23,23,1334
23,23,1335
23,23,1336
23,23,1336
23,23,1338
23,23,1333
23,23,1335
23,23,1335
23,23,1336
23,23,1337
23,23,1337
23,23,1335
23,23,1337
23,23,1334
23,23,1334
23,23,1337
23,23,1334
23,23,1334
23,23,1332
23,23,1335
23,23,1338
23,23,1333
23,23,1334
23,23,1334
23,23,1337
23,23,1337
23,23,1334
23,23,1333
23,23,1337
23,23,1336
23,23,1333
23,23,1335
23,23,1336
23,23,1337
23,23,1335
23,23,1336
23,23,1337
23,23,1334
23,23,1336
23,23,1334
23,23,1334
23,23,1335
23,23,1336
23,23,1337
23,23,1337
23,23,1334
23,23,1334
23,23,1334
23,23,1337
23,23,1338
23,23,1333
23,23,1333
23,23,1338
23,23,1336
23,23,1338
23,23,1336
